calories,carbohydrate,sugar,protein,Cluster,Cluster_Calorias_Promedio,Cluster_Proteinas_Promedio,Cluster_Azucar_Promedio,Cluster_Interpretacion,Cluster_Porcentaje_Total,Cluster_Tipo,Calorias_vs_Promedio_Cluster,Proteinas_vs_Promedio_Cluster,Azucar_vs_Promedio_Cluster
35.48,38.56,0.66,0.92,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-104.04000000000002,-7.3100000000000005,-13.87
914.28,42.68,3.09,2.88,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,285.28999999999996,-31.640000000000004,-2.3900000000000006
97.03,30.56,38.63,0.02,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-42.49000000000001,-8.21,24.1
27.05,1.85,0.8,0.53,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,-112.47000000000001,-7.7,-13.729999999999999
691.15,3.46,1.65,53.93,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,62.15999999999997,19.409999999999997,-3.8300000000000005
183.94,47.95,9.75,46.71,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-445.05,12.189999999999998,4.27
299.14,3.17,0.4,32.4,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-329.85,-2.1200000000000045,-5.08
538.52,3.78,3.37,3.79,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-90.47000000000003,-30.730000000000004,-2.1100000000000003
248.28,48.54,3.99,113.85,0,628.99,34.52,5.48,"Recetas Sustanciosas: Alto contenido calórico y proteico, ideales para comidas principales",60.6,Sustanciosas,-380.71000000000004,79.32999999999998,-1.4900000000000002
170.12,17.63,4.1,0.91,1,139.52,8.23,14.53,"Recetas Ligeras: Bajo contenido calórico y proteico, alto en azúcar, ideales para postres y snacks",39.4,Ligeras,30.599999999999994,-7.32,-10.43
